TIME,SUBJECT,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_EXCEPTIONS,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,COVERED_OBJECTIVES,TOTAL_OBJECTIVES,COVERAGE
0,hasPath.js,0,0,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN
1.6,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
1.8,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
2.1,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
2.4,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
2.7,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
3,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
3.2,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
3.5,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
3.7,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
4,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
4.2,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
4.4,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
4.7,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
4.9,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
5.1,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
5.4,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
5.6,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
5.8,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
6.1,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
6.3,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
6.5,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
6.8,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
7,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
7.2,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
7.5,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
7.7,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
7.9,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
8.2,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
8.4,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
8.6,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
8.8,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
9.1,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
9.3,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
9.5,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
9.7,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
10,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
10.2,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
10.5,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
10.7,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
10.9,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
11.2,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
11.4,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
11.6,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
11.8,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
12.1,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
12.3,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
12.5,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
12.7,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
12.9,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
13.2,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
13.4,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
13.7,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
13.9,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
14.2,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
14.4,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
14.7,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
14.9,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
15.5,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
15.8,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
16,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
16.3,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
16.5,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
16.7,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
17,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
17.2,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
17.5,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
17.7,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
18,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
18.2,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
18.5,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
18.7,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
19,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
19.2,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
19.4,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
19.7,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
19.9,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
20.2,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
20.4,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
20.7,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
20.9,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
21.2,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
21.4,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
21.7,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
21.9,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
22.2,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
22.4,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
22.6,hasPath.js,6,8,75,1,6,100,0,0,6,NaN,19,10,82.61
